timestamp,eye_rub_first_hand_report,eye_rub_first_hand_count,eye_rub_first_hand_durations,|,eye_rub_second_hand_report,eye_rub_second_hand_count,eye_rub_second_hand_durations,|,flicker_report,flicker_count,|,micro_sleep_report,micro_sleep_count,micro_sleep_durations,|,pitch_report,pitch_count,pitch_durations,|,yawn_report,yawn_count,yawn_durations
2024-08-20 20:44:29,False,0,[],|,False,0,[],|,False,0,|,True,4,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds', '4 micro sleep: 3.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 80.0 seconds remaining.,[]
2024-08-20 20:44:43,False,0,[],|,False,0,[],|,False,0,|,True,5,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds', '4 micro sleep: 3.0 seconds', '5 micro sleep: 2.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 65.0 seconds remaining.,[]
2024-08-20 20:44:47,False,0,[],|,False,0,[],|,True,22,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 61.0 seconds remaining.,[]
2024-08-20 20:45:42,False,0,[],|,False,0,[],|,False,0,|,True,6,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds', '4 micro sleep: 3.0 seconds', '5 micro sleep: 2.0 seconds', '6 micro sleep: 5.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 6.0 seconds remaining.,[]
2024-08-20 20:45:47,False,0,[],|,False,0,[],|,True,21,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 1.0 seconds remaining.,[]
2024-08-20 20:45:48,False,0,[],|,False,0,[],|,False,Counting flickers... 59.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,2,"['1 yawn: 8.0 seconds', '2 yawn: 7.0 seconds']"
2024-08-20 20:45:48,False,0,[],|,False,0,[],|,False,0,|,True,7,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds', '4 micro sleep: 3.0 seconds', '5 micro sleep: 2.0 seconds', '6 micro sleep: 5.0 seconds', '7 micro sleep: 4.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 180.0 seconds remaining.,[]
2024-08-20 20:45:48,False,0,[],|,False,0,[],|,False,Counting flickers... 59.0 seconds remaining.,|,False,0,[],|,True,3,"['1 pitch: 11.0 seconds', '2 pitch: 9.0 seconds', '3 pitch: 4.0 seconds']",|,False,Counting yawns... 180.0 seconds remaining.,[]
2024-08-20 20:45:59,False,0,[],|,False,0,[],|,False,Counting flickers... 48.0 seconds remaining.,|,False,0,[],|,True,4,"['1 pitch: 11.0 seconds', '2 pitch: 9.0 seconds', '3 pitch: 4.0 seconds', '4 pitch: 8.0 seconds']",|,False,Counting yawns... 169.0 seconds remaining.,[]
2024-08-20 20:46:47,False,0,[],|,False,0,[],|,True,30,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 121.0 seconds remaining.,[]
2024-08-20 20:47:28,False,0,[],|,False,0,[],|,False,0,|,True,8,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds', '4 micro sleep: 3.0 seconds', '5 micro sleep: 2.0 seconds', '6 micro sleep: 5.0 seconds', '7 micro sleep: 4.0 seconds', '8 micro sleep: 2.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 80.0 seconds remaining.,[]
2024-08-20 20:47:31,False,0,[],|,False,0,[],|,False,0,|,True,9,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds', '4 micro sleep: 3.0 seconds', '5 micro sleep: 2.0 seconds', '6 micro sleep: 5.0 seconds', '7 micro sleep: 4.0 seconds', '8 micro sleep: 2.0 seconds', '9 micro sleep: 2.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 76.0 seconds remaining.,[]
2024-08-20 20:47:46,False,0,[],|,False,0,[],|,True,32,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 62.0 seconds remaining.,[]
2024-08-20 20:47:48,True,1,['1 right eye rub: 2.0 seconds'],|,True,0,[],|,False,Counting flickers... 58.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 60.0 seconds remaining.,[]
2024-08-20 20:47:58,False,0,[],|,False,0,[],|,False,0,|,True,10,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds', '4 micro sleep: 3.0 seconds', '5 micro sleep: 2.0 seconds', '6 micro sleep: 5.0 seconds', '7 micro sleep: 4.0 seconds', '8 micro sleep: 2.0 seconds', '9 micro sleep: 2.0 seconds', '10 micro sleep: 2.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 50.0 seconds remaining.,[]
2024-08-20 20:48:03,False,0,[],|,False,0,[],|,False,0,|,True,11,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds', '4 micro sleep: 3.0 seconds', '5 micro sleep: 2.0 seconds', '6 micro sleep: 5.0 seconds', '7 micro sleep: 4.0 seconds', '8 micro sleep: 2.0 seconds', '9 micro sleep: 2.0 seconds', '10 micro sleep: 2.0 seconds', '11 micro sleep: 3.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 45.0 seconds remaining.,[]
2024-08-20 20:48:30,False,0,[],|,False,0,[],|,False,0,|,True,12,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds', '4 micro sleep: 3.0 seconds', '5 micro sleep: 2.0 seconds', '6 micro sleep: 5.0 seconds', '7 micro sleep: 4.0 seconds', '8 micro sleep: 2.0 seconds', '9 micro sleep: 2.0 seconds', '10 micro sleep: 2.0 seconds', '11 micro sleep: 3.0 seconds', '12 micro sleep: 4.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 18.0 seconds remaining.,[]
2024-08-20 20:48:30,False,0,[],|,False,0,[],|,False,Counting flickers... 16.0 seconds remaining.,|,False,0,[],|,True,5,"['1 pitch: 11.0 seconds', '2 pitch: 9.0 seconds', '3 pitch: 4.0 seconds', '4 pitch: 8.0 seconds', '5 pitch: 4.0 seconds']",|,False,Counting yawns... 17.0 seconds remaining.,[]
2024-08-20 20:48:36,False,0,[],|,False,0,[],|,False,Counting flickers... 10.0 seconds remaining.,|,False,0,[],|,True,6,"['1 pitch: 11.0 seconds', '2 pitch: 9.0 seconds', '3 pitch: 4.0 seconds', '4 pitch: 8.0 seconds', '5 pitch: 4.0 seconds', '6 pitch: 4.0 seconds']",|,False,Counting yawns... 12.0 seconds remaining.,[]
2024-08-20 21:41:39,False,0,[],|,False,0,[],|,True,28,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 120.0 seconds remaining.,[]
2024-08-20 21:41:42,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 5.0 seconds'],|,False,Counting pitches...,[],|,False,Counting yawns... 117.0 seconds remaining.,[]
2024-08-20 21:41:47,False,0,[],|,False,0,[],|,False,0,|,True,2,"['1 micro sleep: 5.0 seconds', '2 micro sleep: 4.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 112.0 seconds remaining.,[]
2024-08-20 21:41:55,False,0,[],|,False,0,[],|,False,0,|,True,3,"['1 micro sleep: 5.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 104.0 seconds remaining.,[]
2024-08-20 21:41:56,False,0,[],|,False,0,[],|,False,Counting flickers... 44.0 seconds remaining.,|,False,0,[],|,True,1,['1 pitch: 12.0 seconds'],|,False,Counting yawns... 104.0 seconds remaining.,[]
2024-08-20 21:42:12,False,0,[],|,False,0,[],|,False,Counting flickers... 27.0 seconds remaining.,|,False,0,[],|,True,2,"['1 pitch: 12.0 seconds', '2 pitch: 9.0 seconds']",|,False,Counting yawns... 88.0 seconds remaining.,[]
2024-11-11 20:58:47,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 4.0 seconds'],|,False,Counting pitches...,[],|,False,Counting yawns... 154.0 seconds remaining.,[]
2024-11-11 20:58:48,False,0,[],|,False,0,[],|,False,Counting flickers... 34.0 seconds remaining.,|,False,0,[],|,True,1,['1 pitch: 4.0 seconds'],|,False,Counting yawns... 154.0 seconds remaining.,[]
2024-11-11 21:02:30,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 4.0 seconds'],|,False,Counting pitches...,[],|,False,Counting yawns... 147.0 seconds remaining.,[]
2024-11-11 21:02:42,False,0,[],|,False,0,[],|,False,0,|,True,2,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 136.0 seconds remaining.,[]
2024-11-11 21:02:42,False,0,[],|,False,0,[],|,False,Counting flickers... 16.0 seconds remaining.,|,False,0,[],|,True,1,['1 pitch: 4.0 seconds'],|,False,Counting yawns... 136.0 seconds remaining.,[]
2024-11-12 10:41:29,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 4.0 seconds'],|,False,Counting pitches...,[],|,False,Counting yawns... 160.0 seconds remaining.,[]
2024-11-12 10:41:37,False,0,[],|,False,0,[],|,False,0,|,True,2,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 6.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 152.0 seconds remaining.,[]
2024-11-12 10:41:37,False,0,[],|,False,0,[],|,False,Counting flickers... 32.0 seconds remaining.,|,False,0,[],|,True,1,['1 pitch: 7.0 seconds'],|,False,Counting yawns... 152.0 seconds remaining.,[]
2024-12-06 18:58:48,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 2.0 seconds'],|,False,Counting pitches...,[],|,False,Counting yawns... 127.0 seconds remaining.,[]
2024-12-06 18:58:55,False,0,[],|,False,0,[],|,True,3,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 120.0 seconds remaining.,[]
2024-12-06 18:58:55,False,0,[],|,False,0,[],|,False,0,|,True,2,"['1 micro sleep: 2.0 seconds', '2 micro sleep: 4.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 120.0 seconds remaining.,[]
2024-12-06 18:58:56,False,0,[],|,False,0,[],|,False,Counting flickers... 59.0 seconds remaining.,|,False,0,[],|,True,1,['1 pitch: 4.0 seconds'],|,False,Counting yawns... 120.0 seconds remaining.,[]
2024-12-07 12:19:34,False,0,[],|,False,0,[],|,True,1,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 120.0 seconds remaining.,[]
2024-12-07 12:25:58,True,1,['1 right eye rub: 2.0 seconds'],|,True,0,[],|,True,1,|,False,0,[],|,False,Counting pitches...,[],|,True,0,[]
